Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
204.0000000000,-0.0013378037,0.0000000000,0.0500000007,0.6799984574
205.0000000000,-0.0013332764,0.0000000000,0.0500000007,0.6825897694
206.0000000000,-0.0013287491,0.0000000000,0.0500000007,0.6851810813
207.0000000000,-0.0013242218,0.0000000000,0.0500000007,0.6877723932
208.0000000000,-0.0013196946,0.0000000000,0.0500000007,0.6903637648
209.0000000000,-0.0013151673,0.0000000000,0.0500000007,0.6929551363
210.0000000000,-0.0013106400,0.0000000000,0.0500000007,0.6955465078
211.0000000000,-0.0013061127,0.0000000000,0.0500000007,0.6981378794
212.0000000000,-0.0013015855,0.0000000000,0.0500000007,0.7007291913
213.0000000000,-0.0012970582,0.0000000000,0.0500000007,0.7033205032
214.0000000000,-0.0012925309,0.0000000000,0.0500000007,0.7054495215
215.0000000000,-0.0012880036,0.0000000000,0.0500000007,0.7074691057
216.0000000000,-0.0012834764,0.0000000000,0.0500000007,0.7094885707
217.0000000000,-0.0012789491,0.0000000000,0.0500000007,0.7115080953
218.0000000000,-0.0012744218,0.0000000000,0.0500000007,0.7135276198
219.0000000000,-0.0012698945,0.0000000000,0.0500000007,0.7155470252
220.0000000000,-0.0012653673,0.0000000000,0.0500000007,0.7175666094
221.0000000000,-0.0012608400,0.0000000000,0.0500000007,0.7195860744
222.0000000000,-0.0012563127,0.0000000000,0.0500000007,0.7216056585
223.0000000000,-0.0012517854,0.0000000000,0.0500000007,0.7236251235
224.0000000000,-0.0012472582,0.0000000000,0.0500000007,0.7256446481
225.0000000000,-0.0012427309,0.0000000000,0.0500000007,0.7276642323
226.0000000000,-0.0012382036,0.0000000000,0.0500000007,0.7296836972
227.0000000000,-0.0012336763,0.0000000000,0.0500000007,0.7317031622
228.0000000000,-0.0012291491,0.0000000000,0.0500000007,0.7337226868
229.0000000000,-0.0012246218,0.0000000000,0.0500000007,0.7357422113
230.0000000000,-0.0012200945,0.0000000000,0.0500000007,0.7377617955
231.0000000000,-0.0012155672,0.0000000000,0.0500000007,0.7397813201
232.0000000000,-0.0012110400,0.0000000000,0.0500000007,0.7418008447
233.0000000000,-0.0012065127,0.0000000000,0.0500000007,0.7438202500
234.0000000000,-0.0012019854,0.0000000000,0.0500000007,0.7458398342
235.0000000000,-0.0011974581,0.0000000000,0.0500000007,0.7478593588
236.0000000000,-0.0011929309,0.0000000000,0.0500000007,0.7498788834
237.0000000000,-0.0011884036,0.0000000000,0.0500000007,0.7518983483
238.0000000000,-0.0011838763,0.0000000000,0.0500000007,0.7539178729
239.0000000000,-0.0011793490,0.0000000000,0.0500000007,0.7559373379
240.0000000000,-0.0011748218,0.0000000000,0.0500000007,0.7579569221
241.0000000000,-0.0011702945,0.0000000000,0.0500000007,0.7599764466
242.0000000000,-0.0011657672,0.0000000000,0.0500000007,0.7619959116
243.0000000000,-0.0011612399,0.0000000000,0.0500000007,0.7640154362
244.0000000000,-0.0011567126,0.0000000000,0.0500000007,0.7660349608
245.0000000000,-0.0011521854,0.0000000000,0.0500000007,0.7680544853
246.0000000000,-0.0011476581,0.0000000000,0.0500000007,0.7700740099
247.0000000000,-0.0011431308,0.0000000000,0.0500000007,0.7720934749
248.0000000000,-0.0011386035,0.0000000000,0.0500000007,0.7741130590
249.0000000000,-0.0011340763,0.0000000000,0.0500000007,0.7761325240
250.0000000000,-0.0011295490,0.0000000000,0.0500000007,0.7781520486
251.0000000000,-0.0011250217,0.0000000000,0.0500000007,0.7801715136
252.0000000000,-0.0011204944,0.0000000000,0.0500000007,0.7821910977
