"p","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.011658,-4.1711e-17,1.7382e-09,1.0151,-1.4587e-16,1.7382e-09,1.0151,1.3722e-13,-1.2313e-12,-2.6035e-10,1.3722e-13,-1.2313e-12,-2.6035e-10,1,0.0018205,0,-0.00044946,0.199
0.011658,-4.2562e-17,1.7257e-09,1.016,-1.4757e-16,1.7257e-09,1.016,1.427e-13,-1.1922e-12,-2.6068e-10,1.427e-13,-1.1922e-12,-2.6068e-10,1,0.0018251,0,-0.00044492,0.199
0.011658,-4.3413e-17,1.7132e-09,1.0169,-1.4928e-16,1.7132e-09,1.0169,1.4817e-13,-1.1531e-12,-2.6101e-10,1.4817e-13,-1.1531e-12,-2.6101e-10,1,0.0018296,0,-0.00044038,0.199
0.011658,-4.4264e-17,1.7008e-09,1.0178,-1.5098e-16,1.7008e-09,1.0178,1.5365e-13,-1.114e-12,-2.6134e-10,1.5365e-13,-1.114e-12,-2.6134e-10,1,0.0018342,0,-0.00043584,0.199
0.011658,-4.5115e-17,1.6883e-09,1.0187,-1.5268e-16,1.6883e-09,1.0187,1.5913e-13,-1.0749e-12,-2.6167e-10,1.5913e-13,-1.0749e-12,-2.6167e-10,1,0.0018387,0,-0.0004313,0.199
0.011658,-4.5965e-17,1.6758e-09,1.0196,-1.5438e-16,1.6758e-09,1.0196,1.646e-13,-1.0358e-12,-2.62e-10,1.646e-13,-1.0358e-12,-2.62e-10,1,0.0018432,0,-0.00042676,0.199
0.011658,-4.6816e-17,1.6634e-09,1.0205,-1.5608e-16,1.6634e-09,1.0205,1.7008e-13,-9.9674e-13,-2.6233e-10,1.7008e-13,-9.9674e-13,-2.6233e-10,1,0.0018478,0,-0.00042222,0.199
0.011658,-4.7667e-17,1.6509e-09,1.0214,-1.5778e-16,1.6509e-09,1.0214,1.7555e-13,-9.5764e-13,-2.6266e-10,1.7555e-13,-9.5764e-13,-2.6266e-10,1,0.0018523,0,-0.00041768,0.199
0.011658,-4.8518e-17,1.6384e-09,1.0223,-1.5949e-16,1.6384e-09,1.0223,1.8103e-13,-9.1855e-13,-2.6298e-10,1.8103e-13,-9.1855e-13,-2.6298e-10,1,0.0018569,0,-0.00041314,0.199
0.011658,-4.9369e-17,1.626e-09,1.0232,-1.6119e-16,1.626e-09,1.0232,1.8651e-13,-8.7945e-13,-2.6331e-10,1.8651e-13,-8.7945e-13,-2.6331e-10,1,0.0018614,0,-0.0004086,0.199
